# Time (s), Z (m), Mach Number, Angle of Attack (°)
8.668718,2788.915499,0.656316,0.018341
8.710263,2797.900789,0.654247,0.014302
8.765506,2809.801994,0.651505,0.008283
8.820749,2821.650300,0.648775,0.007675
8.866059,2831.329006,0.646544,0.010767
8.911369,2840.972392,0.644321,0.012816
8.956680,2850.580577,0.642105,0.012747
9.001990,2860.153685,0.639896,0.010856
9.047301,2869.691839,0.637695,0.008507
9.103465,2881.466536,0.634976,0.008558
9.159630,2893.187954,0.632269,0.011963
9.215794,2904.856325,0.629572,0.014815
9.271959,2916.471875,0.626886,0.015313
9.328123,2928.034827,0.624210,0.013377
9.384288,2939.545394,0.621546,0.010114
9.440452,2951.003787,0.618891,0.007694
9.496617,2962.410212,0.616247,0.007892
9.547574,2972.714179,0.613857,0.009016
9.598530,2982.975694,0.611476,0.009475
9.649487,2993.194909,0.609102,0.009012
9.700444,3003.371981,0.606737,0.008331
9.765847,3016.372740,0.603713,0.008955
9.831249,3029.304653,0.600703,0.011311
9.883550,3039.596605,0.598305,0.012955
9.935851,3049.844899,0.595915,0.013542
9.988152,3060.049693,0.593534,0.012939
10.040452,3070.211143,0.591161,0.011499
10.092753,3080.329402,0.588796,0.009895
10.154994,3092.314550,0.585991,0.008730
10.217234,3104.238994,0.583199,0.008663
10.279475,3116.102984,0.580417,0.008958
10.341715,3127.906768,0.577646,0.009071
10.403956,3139.650597,0.574886,0.009244
10.504748,3158.541972,0.570440,0.010813
10.576732,3171.938605,0.567281,0.012339
10.648716,3185.256278,0.564138,0.019117
10.720699,3198.495366,0.561009,0.026355
10.792683,3211.656235,0.557894,0.028986
10.864667,3224.739249,0.554793,0.025817
10.876844,3226.944709,0.554270,0.024727
10.889021,3229.147953,0.553747,0.023540
10.901198,3231.348983,0.553224,0.022277
10.925552,3235.744406,0.552181,0.019633
10.949905,3240.130989,0.551138,0.016971
10.974259,3244.508746,0.550098,0.014506
11.021069,3252.898317,0.548102,0.011195
11.067878,3261.255408,0.546112,0.010718
11.114687,3269.580114,0.544127,0.011916
11.161497,3277.872526,0.542148,0.012832
11.223870,3288.872058,0.539519,0.012418
11.286243,3299.814625,0.536900,0.011267
11.348616,3310.700440,0.534291,0.012511
11.410989,3321.529721,0.531691,0.016768
11.473362,3332.302683,0.529100,0.021476
11.540572,3343.848211,0.526319,0.024839
11.592545,3352.731837,0.524176,0.025497
11.644518,3361.576778,0.522039,0.024445
11.696491,3370.383148,0.519909,0.022033
11.748464,3379.151061,0.517784,0.018887
11.810363,3389.543414,0.515262,0.015297
11.872261,3399.881557,0.512749,0.013103
11.934160,3410.165673,0.510244,0.012544
11.996059,3420.395942,0.507748,0.012703
12.057957,3430.572548,0.505261,0.013022
12.132588,3442.771252,0.502273,0.014188
12.207218,3454.892535,0.499297,0.016888
12.281848,3466.936715,0.496332,0.020408
12.356479,3478.904107,0.493380,0.023313
12.431109,3490.795021,0.490439,0.024585
12.505740,3502.609758,0.487510,0.023973
12.580370,3514.348614,0.484593,0.021937
12.655000,3526.011878,0.481686,0.019403
12.729631,3537.599834,0.478791,0.017342
12.804261,3549.112764,0.475907,0.016288
12.878892,3560.550946,0.473034,0.016168
12.961600,3573.140168,0.469862,0.016885
13.044308,3585.638304,0.466704,0.018467
13.127016,3598.045729,0.463559,0.020749
13.209724,3610.362815,0.460426,0.023131
13.292432,3622.589927,0.457307,0.024927
13.375140,3634.727424,0.454200,0.025731
13.457848,3646.775657,0.451105,0.025524
13.540556,3658.734972,0.448023,0.024608
13.623264,3670.605708,0.444953,0.023459
13.731871,3686.059605,0.440939,0.022341
13.840478,3701.362087,0.436947,0.022196
13.949085,3716.513891,0.432974,0.023132
14.057692,3731.515745,0.429022,0.024930
14.166298,3746.368370,0.425089,0.027094
14.274905,3761.072475,0.421175,0.028973
14.383512,3775.628756,0.417281,0.030097
14.492119,3790.037886,0.413376,0.024822
14.600726,3804.300516,0.409476,0.027646
14.679882,3814.603707,0.406645,0.030476
14.759039,3824.829646,0.403824,0.029721
14.822799,3833.010603,0.401559,0.026613
14.872302,3839.327866,0.399805,0.023627
14.921805,3845.615154,0.398055,0.021681
14.971309,3851.872529,0.396308,0.022432
15.020812,3858.100052,0.394565,0.026193
15.070315,3864.297784,0.392826,0.031657
15.119818,3870.465785,0.391090,0.037363
15.174938,3877.298725,0.389162,0.042873
15.230058,3884.094961,0.387239,0.046846
15.285178,3890.854573,0.385320,0.048977
15.340298,3897.577638,0.383405,0.049217
15.395418,3904.264232,0.381495,0.047740
15.510380,3918.093350,0.377526,0.040942
15.605282,3929.390457,0.374263,0.034788
15.700184,3940.580482,0.371013,0.031266
15.795086,3951.663779,0.367777,0.030686
15.889988,3962.640702,0.364552,0.031075
